collection,is_homepage,title,slug,permalink,schema_type,excerpt,order,keywords,media_hero,media_alt,references,album,body_md
written-photography,False,COMMIT,commit-humans-longer-commute-neither,/written-photography/commit-humans-longer-commute-neither/,Statement,,,"commit, humans, longer, commute, neither, communicate",,,,,"COMMIT

Humans 'will not longer commute',
neither 'they will communicate'
They will just 'commit'."
written-photography,False,TRANSCENDENTAL,transcendental-imaginary-time-impossible-square,/written-photography/transcendental-imaginary-time-impossible-square/,CreativeWork,,,"transcendental, imaginary, time, impossible, square",,,,,"TRANSCENDENTAL

Imaginary Time
is
Impossible to Square"
written-photography,False,"I"" BEARS THE SHADOW",bears-shadow-dances-saggitarius,/written-photography/bears-shadow-dances-saggitarius/,CreativeWork,,,"bears, shadow, dances, saggitarius",,,,,"""I"" BEARS THE SHADOW

The sun dances
Saggitarius A*
<=>"
written-photography,False,MOUNTAINS,mountains-destroyed-tear-down-axis,/written-photography/mountains-destroyed-tear-down-axis/,Statement,,,"mountains, destroyed, tear, down, axis, mundi, colonized, community",,,,,"MOUNTAINS

Are destroyed
to tear down the axis mundi
of a colonized community."
written-photography,False,SHARING THE SAME DNA,sharing-same-dna-subjects-variable,/written-photography/sharing-same-dna-subjects-variable/,Statement,,,"sharing, same, subjects, variable, degrees, disease",,,,,"SHARING THE SAME DNA

We are all subjects to
variable degrees of
Mad Cow Disease."
written-photography,False,TIME STAMPS,time-stamps-work-progress-until,/written-photography/time-stamps-work-progress-until/,Statement,,,"time, stamps, work, progress, until",,,,,"TIME STAMPS

Work in progress
until we die. "
written-photography,False,OUR MEMORIES,memories-overwritten-someone-else,/written-photography/memories-overwritten-someone-else/,CreativeWork,,,"memories, overwritten, someone, else",,,,,"OUR MEMORIES

Are being overwritten
by someone else now."
written-photography,False,THE ANTS CAME,ants-came-took-away-binary,/written-photography/ants-came-took-away-binary/,ShortStory,,,"ants, came, took, away, binary, codes, book",,,,,"THE ANTS CAME

and took away,  
one by one,
the binary codes
of this book. "
taglines,False,Scrolling,scrolling-gdfr-goin-down-for-real-flo-rida-sage-the-gemini,/taglines/scrolling-gdfr-goin-down-for-real-flo-rida-sage-the-gemini/,VisualArtwork,,,"g.d.f.r., goin' down for real, flo rida, sage the gemini, lookas, my house (2015)",,,"G.D.F.R., Goin' Down For Real, Flo Rida, Sage the Gemini, Lookas, My House (2015)",,"Scrolling
down
for real"
taglines,False,Wish to have no followers,wish-have-followers-zero-follower-no-followers,/taglines/wish-have-followers-zero-follower-no-followers/,CreativeWork,,,"zero-follower, no followers",,,"zero-follower, no followers",,Wish to have no followers
visualartwork,False,SOUND MINDED,sound-minded-star-of-affinity-rhcp-michael-moorcock,/visualartwork/sound-minded-star-of-affinity-rhcp-michael-moorcock/,VisualArtwork,,,"star of affinity, rhcp, michael moorcock, kurt vonnegut, breakfast of champions",,,"Star of Affinity, RHCP, Michael Moorcock, Kurt Vonnegut, Breakfast of Champions",,"SOUND MINDED

✳"
visualartwork,False,Google is searching us,google-searching-us-surveillance-capitalism-attention-economy,/visualartwork/google-searching-us-surveillance-capitalism-attention-economy/,VisualArtwork,,,"surveillance capitalism, attention economy, dystopian dissimulation",,,"surveillance capitalism, attention economy, dystopian dissimulation",,Google is searching us
visualartwork,False,New Britain Mask,new-britain-mask,/visualartwork/new-britain-mask/,VisualArtwork,,,"britain, mask",https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbVN0S0s5ZGlDcXVoeFBBUFlkZXl3OXhXUmJWaVhuR2ZzdXhhN0JLdnNUbjhCL2ltYWdlLnBuZw==?,,,,New Britain Mask
visualartwork,False,Golden Snub-Nosed Monkey,golden-snub-nosed-monkey,/visualartwork/golden-snub-nosed-monkey/,VisualArtwork,,,"golden, snub-nosed, monkey",https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbVNFR1pITHBKZlV4WkUzRUpUTDdwbThWRkZKV2FLZG9XM0NTZ0RqdHhBbW01L2ltYWdlLnBuZw==?,,,,Golden Snub-Nosed Monkey
visualartwork,False,Loris,loris,/visualartwork/loris/,VisualArtwork,,,loris,https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbWFBTVg0V0htdzZyd2pROTFpOTkxYkw0N0I2WTM0b2MxUGtpNjlteVh5U1RVL2ltYWdlLnBuZw==?,,,,Loris
visualartwork,False,Japanese Macaque,japanese-macaque,/visualartwork/japanese-macaque/,VisualArtwork,,,"japanese, macaque",https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbVJ2TXlvejJycll1Slg5SGM5bXdmNjNjM0o0bnhRR1oxZll1bmNyWnNOSmVjL2ltYWdlLnBuZw==?,,,,Japanese Macaque
visualartwork,False,Llama,llama,/visualartwork/llama/,VisualArtwork,,,llama,https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbWU3RllkNld4UDRvakJ2bTZXN25pWERtRHZVUlBrbjdma2MxVENmcnVob3pZL2ltYWdlLnBuZw==?,,,,Llama
visualartwork,False,Red Fox,red-fox,/visualartwork/red-fox/,VisualArtwork,,,"red, fox",https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbU5jQTRhVWpQTm9DdXNNNUwyckpnd0Q0THFNVWZMaGYyOUxMUVl4aFBwWUVtL2ltYWdlLnBuZw==?,,,,Red Fox
visualartwork,False,Songye Kifwebe Mask,songye-kifwebe-mask,/visualartwork/songye-kifwebe-mask/,VisualArtwork,,,"songye, kifwebe, mask",https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbVEza0dXcnlQWnhhSDFzOFNlOWJtVjV0SjdGcVM1alRwMm1VS29wY0JZMzVIL2ltYWdlLnBuZw==?,,,,Songye Kifwebe Mask
visualartwork,False,Bemba Mask,bemba-mask,/visualartwork/bemba-mask/,VisualArtwork,,,"bemba, mask",https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbWVtdEpKVDZYM3ozNXNHTlBja1dVNUFLdVRkSEpTM3hyYmRLNE1jQWVnVmR4L2ltYWdlLnBuZw==?,,,,Bemba Mask
visualartwork,False,Elema Mask,elema-mask,/visualartwork/elema-mask/,VisualArtwork,,,"elema, mask",https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbWFxaEdaNGpwSzVTbVBHWkNSVFNQZkxaNlptSzNDUDZiczd6N0JLdXJVUDhDL2ltYWdlLnBuZw==?,,,,Elema Mask
visualartwork,False,Sepik River Mask,sepik-river-mask,/visualartwork/sepik-river-mask/,VisualArtwork,,,"sepik, river, mask",https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbWRHeUJuNW9haVlHNFdRRjdaUWZFWlE0VmQzQ3k1M1BXUkpYaU5rbUFrUXZZL2ltYWdlLnBuZw==?,,,,Sepik River Mask
visualartwork,False,Palm Peach Mask,palm-peach-mask,/visualartwork/palm-peach-mask/,VisualArtwork,,,"palm, peach, mask",https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbVpNTlZLNDI0WUtKNFJidFdhTVhXekU2enlVdDU3SlZpa3VGRkdmUnFCblJwL2ltYWdlLnBuZw==?,,,,Palm Peach Mask
visualartwork,False,Indonesian Mask,indonesian-mask,/visualartwork/indonesian-mask/,VisualArtwork,,,"indonesian, mask",https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbWFmcEdEaWVyck1hTjdWRkYxSFVKWWllcHR5Y0J6OEpBM2ZKOUFXYUhjcFJOL2ltYWdlLnBuZw==?,,,,Indonesian Mask
visualartwork,False,Philippine Eagle,philippine-eagle,/visualartwork/philippine-eagle/,VisualArtwork,,,"philippine, eagle",https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbVRpRm5Dd1lTdEdNcGtobTJLR2N2QUZFR0xtR0Z0dzVOcFU4OUxvdzhXYjVSL2ltYWdlLnBuZw==?,,,,Philippine Eagle
visualartwork,False,Puma,puma,/visualartwork/puma/,VisualArtwork,,,puma,https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbWNOU3ZiNWI3WlhaWFBGaTROdkhXVWc2enI4NExOM0tONDZjc21pTWh2RWp4L2ltYWdlLnBuZw==?,,,,Puma
visualartwork,False,Sifaka,sifaka,/visualartwork/sifaka/,VisualArtwork,,,sifaka,https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbVlCYXZ4SkZRTkdlUHVGRW14OERVcENrenZic3pVODJMYzZHOHBlOXZpaW5UL2ltYWdlLnBuZw==?,,,,Sifaka
visualartwork,False,Fennec Fox,fennec-fox,/visualartwork/fennec-fox/,VisualArtwork,,,fennec,https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbVhkZ0ZTYnpEbWJaSHlpNko5ZnFoTG1NbWNLb3VSazM1dFVjb05YdE1LeXVDL2ltYWdlLnBuZw==?,,,,Fennec Fox
visualartwork,False,Dolphin,dolphin,/visualartwork/dolphin/,VisualArtwork,,,dolphin,https://media.raribleuserdata.com/image/aHR0cHM6Ly9pcGZzLnJhcmlibGV1c2VyZGF0YS5jb20vaXBmcy9RbWVoYXc2UXVweVoyem5LQWQ2ak1nWXdheWlnOHZDY005UUhiVjJHWDhScWk5L2ltYWdlLnBuZw==?,,,,Dolphin
visualartwork,False,Reverse Darwinism:,reverse-darwinism-dr-alan-grant-jurassic-park-iii,/visualartwork/reverse-darwinism-dr-alan-grant-jurassic-park-iii/,VisualArtwork,,,"dr. alan grant, jurassic park iii",,,"Dr. Alan Grant, Jurassic Park III",,"""Reverse Darwinism:
Survival of the most idiotic"""
sculpture,False,Chicken Heart,chicken-heart-takotsubo-cardiomyopathy-broken-heart-chicken-hear,/sculpture/chicken-heart-takotsubo-cardiomyopathy-broken-heart-chicken-hear/,Sculpture,,,"takotsubo cardiomyopathy, broken heart, chicken heart",,,"Takotsubo Cardiomyopathy, broken heart, chicken heart",,Chicken Heart
sculpture,False,Everything Fist Well,everything-fist-well-closer-2004,/sculpture/everything-fist-well-closer-2004/,Sculpture,,,closer (2004),,,Closer (2004),,Everything Fist Well
sculpture,False,VISIBLE TO ME,visible-antoine-de-saint-exupery-the-little-prince,/sculpture/visible-antoine-de-saint-exupery-the-little-prince/,Sculpture,,,"antoine de saint-exupery, the little prince",,,"Antoine de Saint-Exupéry, The Little Prince",,"VISIBLE TO ME

""What is essential is invisible to the eye"""
sculpture,False,Crystal Meth Clear,crystal-meth-clear,/sculpture/crystal-meth-clear/,Sculpture,,,"crystal, meth, clear",,,,,Crystal Meth Clear
sculpture,False,Iceberg,iceberg,/sculpture/iceberg/,Sculpture,,,iceberg,,,,,Iceberg
sculpture,False,Corazón Espinado,corazon-espinado-corazon-espinado-santana-supernatural,/sculpture/corazon-espinado-corazon-espinado-santana-supernatural/,Sculpture,,,"corazon espinado, santana, supernatural",,,"Corazón espinado, Santana, Supernatural",,Corazón Espinado
sculpture,False,Heartless,heartless,/sculpture/heartless/,Sculpture,,,heartless,,,,,Heartless
sculpture,False,Under the reign of king Minos,reign-king-minos-labyrith-minotaur,/sculpture/reign-king-minos-labyrith-minotaur/,Sculpture,,,"labyrith, minotaur, crete, thalassocracy, minoan civilization",,,"labyrith, Minotaur, Crete, thalassocracy, Minoan civilization",,Under the reign of king Minos
